legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
f6d6eeae3cc9cd93246a42dd804b123d,2022-04-16,2022-04-22,BOS,LAX,G3AZZNN1,PT9H7M,0,False,False,False,234.42,275.60,1,2771,1650658080||1650679320,2022-04-22T16:08:00.000-04:00||2022-04-22T21:02:00.000-05:00,1650674160||1650690900,2022-04-22T19:36:00.000-05:00||2022-04-22T22:15:00.000-07:00,DFW||ONT,BOS||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,16080||11580,1556||1215,coach||coach
f08da987c616143f1a94ba3b434c8619,2022-04-16,2022-04-22,BOS,LAX,WAA3PFEN,PT9H9M,1,False,False,False,234.42,275.60,3,3049,1650665760||1650693720,2022-04-22T18:16:00.000-04:00||2022-04-22T23:02:00.000-07:00,1650690000||1650698700,2022-04-22T22:00:00.000-07:00||2022-04-23T00:25:00.000-07:00,SFO||ONT,BOS||SFO,United||United,UA||UA,Boeing 737 MAX 9||Airbus A319,24240||4980,2698||351,coach||coach
e70f0ca275cf8726d84f9f95fa272f3e,2022-04-16,2022-04-22,BOS,LAX,UA3NA0BC,PT9H10M,0,True,False,False,234.42,275.60,9,2674,1650621900||1650648600,2022-04-22T06:05:00.000-04:00||2022-04-22T11:30:00.000-06:00,1650641700||1650654900,2022-04-22T09:35:00.000-06:00||2022-04-22T12:15:00.000-07:00,SLC||ONT,BOS||SLC,Delta||Delta,DL||DL,Boeing 737-900||Boeing 737-800,19800||6300,2100||574,coach||coach
07f6cb5f81738a03cbe2a508ab31be59,2022-04-16,2022-04-22,BOS,LAX,WAA3PFEN,PT9H16M,0,False,False,False,234.42,275.60,8,2590,1650622500||1650647880,2022-04-22T06:15:00.000-04:00||2022-04-22T11:18:00.000-06:00,1650639120||1650655860,2022-04-22T08:52:00.000-06:00||2022-04-22T12:31:00.000-07:00,DEN||ONT,BOS||DEN,United||United,UA||UA,Boeing 737-800||Boeing 737-800,16620||7980,1763||827,coach||coach
2b30bbf5b3fad534e5d4d5b050caa8c8,2022-04-16,2022-04-22,BOS,LAX,UA3NA0BC,PT9H19M,0,True,False,False,234.42,275.60,9,2866,1650659760||1650676320,2022-04-22T16:36:00.000-04:00||2022-04-22T21:12:00.000-04:00,1650670200||1650693300,2022-04-22T19:30:00.000-04:00||2022-04-22T22:55:00.000-07:00,ATL||ONT,BOS||ATL,Delta||Delta,DL||DL,Airbus A321||Airbus A321,10440||16980,947||1919,coach||coach
bfa0fb40f3a2345eea12e3dc5032828a,2022-04-16,2022-04-22,BOS,LAX,G3AZZNN1,PT10H2M,0,False,False,False,234.42,275.60,3,2771,1650618000||1650642300,2022-04-22T05:00:00.000-04:00||2022-04-22T10:45:00.000-05:00,1650634140||1650654120,2022-04-22T08:29:00.000-05:00||2022-04-22T12:02:00.000-07:00,DFW||ONT,BOS||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,16140||11820,1556||1215,coach||coach
716faf45cf18b4bcfb4d5b114f7db526,2022-04-16,2022-04-22,BOS,LAX,G3AZZNN1,PT10H33M,0,False,False,False,234.42,275.60,6,2771,1650652920||1650679320,2022-04-22T14:42:00.000-04:00||2022-04-22T21:02:00.000-05:00,1650669000||1650690900,2022-04-22T18:10:00.000-05:00||2022-04-22T22:15:00.000-07:00,DFW||ONT,BOS||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,16080||11580,1556||1215,coach||coach
0c2bf3d4ff4a63cc4ff3e422a9ba8772,2022-04-16,2022-04-22,BOS,LAX,RH3ABEL1,PT6H18M,0,False,False,True,274.42,309.60,7,2606,1650621720,2022-04-22T06:02:00.000-04:00,1650644400,2022-04-22T09:20:00.000-07:00,LAX,BOS,JetBlue Airways,B6,Airbus A319-321,22680,2606,coach
414223f0cbc4d48e7690bbd1f32b8952,2022-04-16,2022-04-22,BOS,LAX,LA3NA0BQ,PT6H21M,0,True,False,True,274.42,309.60,9,2606,1650638040,2022-04-22T10:34:00.000-04:00,1650660900,2022-04-22T13:55:00.000-07:00,LAX,BOS,Delta,DL,Boeing 757-200,22860,2606,coach
d2caf7210814d7bfca231413ea3f747e,2022-04-16,2022-04-22,BOS,LAX,LA3NA0BQ,PT6H21M,0,True,False,True,274.42,309.60,9,2606,1650655200,2022-04-22T15:20:00.000-04:00,1650678060,2022-04-22T18:41:00.000-07:00,LAX,BOS,Delta,DL,Boeing 757-200,22860,2606,coach
e5f63cce428023d756bf7e850f903363,2022-04-16,2022-04-22,BOS,LAX,WAA3PFEN,PT6H23M,0,False,False,True,274.42,309.60,5,2606,1650663840,2022-04-22T17:44:00.000-04:00,1650686820,2022-04-22T21:07:00.000-07:00,LAX,BOS,United,UA,Boeing 737-900,22980,2606,coach
150f7c4dfdc6b413ab593f1cb9717816,2022-04-16,2022-04-22,BOS,LAX,LA3NA0BQ,PT6H26M,0,True,False,True,274.42,309.60,9,2606,1650669600,2022-04-22T19:20:00.000-04:00,1650692760,2022-04-22T22:46:00.000-07:00,LAX,BOS,Delta,DL,Boeing 757-200,23160,2606,coach
b51bdbfea5069975d19956b2c89a2bef,2022-04-16,2022-04-22,BOS,LAX,LA3NA0BQ,PT6H26M,0,True,False,True,274.42,309.60,9,2606,1650628740,2022-04-22T07:59:00.000-04:00,1650651900,2022-04-22T11:25:00.000-07:00,LAX,BOS,Delta,DL,Boeing 757-200,23160,2606,coach
cae9cab90961916a3072639e5c2661fd,2022-04-16,2022-04-22,BOS,LAX,WAA3PFEN,PT6H27M,0,False,False,True,274.42,309.60,5,2606,1650621300,2022-04-22T05:55:00.000-04:00,1650644520,2022-04-22T09:22:00.000-07:00,LAX,BOS,United,UA,Boeing 737 MAX 9,23220,2606,coach
4e17a778ec9940cd68047331f897d1d9,2022-04-16,2022-04-22,BOS,LAX,B3AHZNN1,PT6H29M,0,False,False,True,274.42,309.60,7,2606,1650670500,2022-04-22T19:35:00.000-04:00,1650693840,2022-04-22T23:04:00.000-07:00,LAX,BOS,JetBlue Airways,B6,AIRBUS INDUSTRIE A321 SHARKLETS,23340,2606,coach
fa9a4f9f96e868806e6f860c9569fc0f,2022-04-16,2022-04-22,BOS,LAX,V3AZZNN1,PT6H29M,0,False,False,True,274.42,309.60,7,2606,1650670500,2022-04-22T19:35:00.000-04:00,1650693840,2022-04-22T23:04:00.000-07:00,LAX,BOS,American Airlines,AA,AIRBUS INDUSTRIE A321 SHARKLETS,23340,2606,coach
